probe,weight,jew_type,jew_weight,complexity,price
700,9,2,1,4,775789.38
500,8,4,7,2,427299.83
600,9,3,1,4,587036.21
700,9,2,8,4,963561.7
600,2,4,8,2,349261.88
500,8,8,8,2,966317.55
585,8,4,8,2,552708.69
600,1,6,4,2,214692.04
600,3,8,7,1,560214.55
500,9,2,6,4,520243.74
700,10,9,7,5,2732948.67
700,9,7,1,1,389536.89
700,9,6,10,2,1149890.99
500,7,7,9,5,2029283.43
600,7,7,10,3,1488768.02
600,6,10,1,1,245606.36
500,1,9,1,3,142171.01
585,6,1,6,5,556105.55
600,9,5,8,4,1187307.54
500,6,8,7,3,999969.88
700,8,3,3,1,344871.29
585,5,9,7,3,1197009.97
585,4,1,3,2,158104.4
500,6,8,8,5,2007961.69
700,4,8,6,4,1160711.93
700,5,7,7,4,1266599.43
600,10,2,5,2,426637.39
700,7,7,10,2,1237353.43
500,10,9,1,1,261164.03
585,1,4,8,4,522719.23
585,4,9,6,1,562766.46
585,7,7,10,1,871945.48
500,1,6,6,3,439419.41
600,6,9,7,3,1255410.22
585,4,6,6,2,451858.09
600,1,3,1,3,71425.74
700,2,7,5,1,310256.99
585,3,4,4,4,344267.04
500,8,5,1,2,239337.99
500,10,6,1,4,503636.43
585,3,9,3,1,258489.8
600,9,1,4,4,598243.42
700,5,2,1,2,260873.74
600,10,8,10,4,2471052.23
600,7,4,1,2,282811.44
600,1,2,6,5,252482.36
700,3,10,2,2,326067.7
600,10,3,9,3,775781.6
600,8,5,9,2,744720.69
700,2,7,2,3,258743.76
500,6,9,8,1,826942.54
585,7,1,10,3,446737.91
700,2,4,5,1,182622.97
585,2,10,6,5,1694337.36
500,5,4,5,2,263361.38
700,9,10,9,4,2997661.19
600,4,10,8,2,1244316.94
585,7,2,3,3,357282.12
700,6,9,7,2,1045730.9
500,9,7,1,1,219242.99
500,5,3,6,1,194063.38
500,4,5,7,1,311903.07
600,2,8,9,2,995193.08
700,5,8,3,4,743970.88
700,1,9,8,2,972952.39
500,6,9,4,1,374888.59
500,3,3,10,1,270391.31
500,4,9,9,4,2055228.17
585,9,5,5,3,645839.7
600,4,4,6,1,248904.52
585,7,2,5,4,514133.44
585,2,1,1,5,169007.4
700,8,5,10,1,720398.88
500,7,8,3,2,370716.4
585,4,1,3,4,265813.26
500,2,3,1,2,69746.36
500,9,10,3,5,1105717.67
500,6,7,9,4,1519491.62
585,3,1,9,3,244107.1
700,9,7,3,5,1323477.95
700,10,6,6,3,1053694.85
600,4,6,8,5,1393519.75
700,5,9,1,2,333230.81
600,5,10,8,2,1279724.09
585,9,6,3,5,955578.59
700,10,3,4,2,567006.4
600,3,5,5,4,495309.42
600,8,1,10,2,393616.86
700,9,10,5,3,1281428.39
600,8,6,8,5,1712631.0
600,2,4,2,3,153849.64
500,7,3,6,2,302215.01
585,10,1,7,1,312506.44
700,2,5,1,2,135428.16
700,2,1,3,1,92086.12
585,6,8,1,1,215189.59
500,9,1,5,1,203653.0
600,3,4,5,1,189047.77
585,2,6,2,2,148938.54
500,10,2,2,2,275286.91
600,4,8,5,4,879672.76
500,7,7,1,3,303905.97
700,4,9,5,4,1100565.78
600,8,3,7,2,447218.31
600,3,6,1,4,260781.89
700,7,8,7,5,2120027.91
600,6,9,9,5,2931532.68
500,5,2,1,2,140634.26
600,3,1,10,2,210967.13
500,10,1,6,2,298639.01
500,6,7,2,3,327761.33
585,3,2,6,5,401081.04
600,5,6,2,5,573329.61
600,3,3,7,4,447852.16
600,2,5,10,5,1341990.79
700,4,3,6,2,322085.88
500,8,10,6,4,1530126.71
585,6,4,9,1,416347.48
585,8,7,6,5,1477877.31
500,8,4,5,2,339751.88
600,7,10,3,2,532449.61
500,7,10,5,2,716711.96
700,1,1,7,4,179035.7
700,8,5,6,5,1399473.7
500,6,10,5,2,689993.46
700,4,1,7,3,332076.61
600,7,6,4,4,729299.8
585,9,6,7,3,921049.15
500,2,10,1,4,254574.98
585,4,10,9,4,2477896.26
700,2,5,8,5,1038949.15
600,1,5,3,1,102566.88
585,3,1,8,5,380249.29
585,8,10,2,1,350148.92
585,4,6,10,2,842015.64
600,10,5,8,4,1248809.9
500,6,3,2,5,403997.44
500,4,1,10,2,201311.71
585,1,4,7,2,259018.82
585,7,4,9,5,1264025.06
700,4,3,5,5,644387.0
585,8,3,1,4,500187.5
600,5,1,3,5,440443.83
600,8,3,2,2,323601.78
500,5,4,9,3,597082.39
585,3,2,5,4,279396.2
700,5,10,7,4,1922321.06
600,3,9,10,2,1437497.41
600,2,6,3,2,196626.78
700,9,1,3,1,359669.65
700,10,10,7,2,1386501.23
585,9,9,3,2,544664.81
500,2,1,10,2,151717.7
600,2,1,10,3,225011.98
585,3,4,10,4,844480.62
500,4,4,10,1,382820.06
500,5,3,10,3,522535.44
700,1,10,4,4,752107.91
600,6,6,6,5,1167903.57
600,8,3,4,4,611447.89
600,9,4,8,5,1325585.28
500,2,9,10,1,1060295.53
600,6,4,3,5,634679.43
500,7,2,5,2,239542.46
700,5,6,10,1,733210.07
500,1,3,1,1,34111.27
585,1,5,1,5,151826.75
600,7,8,9,4,1990312.16
700,1,2,8,2,173984.08
600,6,2,4,2,264638.85
500,3,4,7,1,231042.71
700,1,10,10,4,2752684.23
600,3,8,2,1,179478.79
600,1,1,8,3,137824.31
500,7,4,2,5,487909.87
700,8,2,6,3,621168.0
500,9,1,9,1,242214.72
500,4,9,5,1,427304.65
585,7,4,1,1,207575.24
700,9,4,10,3,1096352.32
600,9,7,10,2,1217493.54
600,4,8,1,2,216098.98
585,9,6,3,2,436697.6
700,4,5,1,1,180688.51
585,2,9,9,1,912047.11
700,7,8,6,2,836982.14
500,10,4,8,2,528763.62
600,7,10,5,2,794504.45
585,8,4,8,2,554613.69
600,4,3,10,3,547608.22
500,1,6,8,4,867402.64
600,8,2,9,3,572358.16
600,7,4,6,1,333917.47
585,2,8,9,4,1674498.8
600,1,10,6,4,1248056.58
500,4,3,5,1,152209.47
585,1,7,4,5,565417.9
585,9,5,2,2,373751.05
600,1,9,3,5,588487.86
500,6,4,3,5,486067.03
700,4,3,1,1,168479.27
585,9,3,8,5,1106520.65
600,4,10,8,4,2100571.09
585,7,9,2,5,860213.23
600,2,6,2,3,197919.54
585,5,7,3,3,428646.77
600,3,9,9,1,942390.81
600,6,10,8,3,1711345.0
700,4,3,3,4,418511.0
500,3,9,4,1,316020.66
500,4,10,3,2,376754.6
700,6,9,9,3,1838576.7
500,3,4,1,5,223855.47
600,4,9,5,1,461177.01
600,3,7,1,5,364861.89
600,9,5,6,3,739159.28
585,6,8,7,4,1396173.74
585,2,2,1,5,178761.93
700,6,9,6,5,1951588.89
585,1,9,6,1,480945.58
500,4,4,4,4,339201.1
700,10,3,8,2,689616.88
700,5,3,2,5,615751.49
700,3,4,3,1,169513.08
700,1,5,1,5,185622.87
585,4,8,3,1,255617.18
585,2,4,9,4,680215.13
600,1,9,5,1,377446.06
585,2,2,1,2,82920.77
600,3,6,10,1,626332.64
700,10,8,7,3,1449052.55
500,8,7,7,1,542701.23
500,4,9,7,1,654001.62
585,4,3,2,3,222883.67
700,5,5,8,5,1367883.76
700,8,10,9,1,1327671.52
585,4,9,6,5,1600917.99
600,3,8,9,3,1340315.49
500,4,9,5,1,426815.65
500,2,10,7,1,722702.72
585,10,4,2,4,663339.44
585,3,3,5,5,436066.42
700,2,9,7,2,847540.5
500,8,1,7,1,201155.68
500,10,10,1,4,597604.46
585,8,4,7,2,502396.91
700,1,9,2,1,152795.07
585,10,8,4,2,623447.72
500,1,6,2,2,104455.01
700,4,4,3,3,348894.54
600,2,7,3,4,386268.81
500,5,7,6,4,882521.24
600,6,7,10,5,2433936.64
500,10,4,3,2,324060.43
585,4,10,8,3,1607077.93
700,9,5,7,2,751268.08
585,7,10,9,4,2653511.44
700,10,1,4,2,523315.42
700,8,6,6,3,924024.29
700,2,9,7,5,1858279.04
500,3,6,3,4,336312.2
700,2,3,7,3,332425.25
600,10,10,2,3,704448.36
585,10,3,1,3,475562.02
500,2,9,8,2,973857.8
600,2,3,7,5,500962.25
500,2,8,5,3,552388.2
585,8,1,9,4,611730.74
585,2,1,4,4,160650.34
600,10,9,3,4,1007911.48
700,1,4,5,2,186001.46
600,9,7,9,3,1399049.89
700,7,1,3,1,283378.5
585,2,7,2,3,219831.83
700,2,8,10,4,2021156.6
700,8,4,6,4,971074.02
700,1,2,2,4,119367.39
500,3,8,1,1,112286.77
500,2,8,5,5,932619.4
600,10,4,1,2,391776.88
600,7,8,4,1,408722.93
585,10,10,5,4,1495194.74
700,7,10,5,2,887254.64
585,3,4,1,4,219103.4
500,6,6,1,5,432694.05
500,7,7,5,4,812962.31
500,3,8,10,1,903135.44
700,1,10,7,1,721988.18
700,10,2,1,1,392544.27
585,1,4,7,1,199106.4
585,9,1,4,4,570735.77
585,5,10,10,2,1752642.14
585,10,3,4,5,915010.85
600,7,7,9,5,2201308.57
700,6,4,5,3,564066.9
500,10,9,8,2,1176790.82
500,7,3,4,2,248657.92
500,7,2,4,1,172697.15
500,3,3,2,1,83156.64
600,10,1,2,3,490247.36
700,1,7,2,5,327174.12
700,9,3,8,3,831542.57
500,2,10,7,3,1221780.51
500,2,6,8,4,910491.2
500,3,10,8,4,1981598.35
700,9,4,4,1,422819.15
585,6,8,8,3,1261875.08
600,8,9,1,5,825176.12
500,2,8,1,1,93771.46
700,7,10,7,3,1608641.76
600,3,3,10,5,844420.9
600,2,3,10,2,348434.88
700,10,1,7,1,426965.96
500,6,6,7,2,548590.79
600,10,6,3,4,824447.08
585,2,6,9,3,857837.84
500,8,4,5,2,339207.88
600,9,2,1,2,341464.05
585,10,8,7,2,964593.7
700,8,6,10,5,2415491.82
700,1,2,7,2,150480.29
585,10,3,1,2,366323.47
500,10,8,8,2,1017241.56
700,5,1,5,5,622518.68
500,4,9,2,1,193210.23
500,6,9,8,1,827227.54
500,6,10,4,3,711865.93
500,7,6,3,1,232671.01
600,9,2,9,4,806889.87
585,10,1,5,5,838769.46
700,5,8,1,4,538070.36
700,2,4,5,1,182168.97
600,10,3,6,2,488742.94
500,8,5,9,3,852732.62
585,1,10,8,2,1131626.37
700,2,10,10,1,1291907.45
700,7,1,3,3,477551.82
700,8,2,2,1,323836.83
700,5,8,5,3,809887.89
500,4,9,4,3,565005.03
700,4,8,4,3,616240.79
600,10,2,7,5,1021942.54
600,3,8,8,2,872652.96
600,6,10,4,4,1039388.58
700,4,6,9,1,607756.27
600,9,1,8,1,308472.7
600,4,6,1,5,419078.32
700,3,6,10,2,851845.39
600,1,10,8,5,2488530.43
585,9,6,10,2,1016174.7
600,2,1,6,4,200015.54
585,1,9,6,2,626577.56
600,7,5,2,2,317415.95
500,8,6,8,2,692063.96
585,5,9,6,1,588176.08
500,7,9,8,4,1856865.6
600,3,2,7,4,353693.93
500,7,7,10,3,1386597.28
500,7,5,1,4,358234.74
600,7,9,1,5,746015.56
585,4,3,10,3,538210.93
585,6,10,9,4,2593558.38
585,3,8,5,2,478232.65
585,4,7,3,3,382867.95
585,8,6,3,5,879579.51
700,5,10,4,3,838067.2
700,10,5,1,2,533548.97
585,9,4,3,1,294907.47
585,9,7,7,5,1784705.55
700,2,3,1,5,257817.42
700,8,6,5,1,492207.73
585,6,8,2,2,332613.56
600,5,7,5,2,487543.41
700,4,3,2,3,300694.53
500,6,10,1,4,425977.22
500,7,2,2,1,153132.38
600,4,1,4,3,224887.11
500,4,4,3,4,289416.28
500,3,8,6,4,952641.76
600,10,10,6,1,821399.19
500,4,8,8,2,864170.54
585,1,5,6,5,602521.15
700,2,2,7,5,437041.33
585,3,7,7,2,605495.11
585,10,10,3,1,479928.63
500,6,3,10,4,722344.53
585,10,4,6,2,525321.02
700,5,4,6,2,425343.9
585,6,9,3,1,339743.67
585,1,4,2,4,134641.89
585,2,3,2,4,170767.25
600,3,5,3,2,205548.34
600,9,5,5,1,394343.63
500,8,1,4,5,500904.61
700,7,8,5,1,556824.47
700,1,6,3,1,132918.91
600,2,6,1,5,258391.2
600,8,3,9,5,1149314.79
700,3,6,4,3,423651.31
700,5,9,5,2,701535.53
700,3,2,9,1,230751.22
600,7,10,10,2,1834476.1
500,5,3,4,5,431215.2
500,10,1,7,2,311772.48
600,2,7,1,1,101053.49
700,2,2,1,5,244559.18
500,8,7,2,5,664113.55
500,5,8,7,1,574275.15
500,10,1,9,2,337843.84
500,9,2,5,3,375643.51
500,5,8,6,4,1039799.88
585,8,6,3,4,677879.01
585,6,6,6,5,1143875.68
600,9,8,3,5,1141914.99
700,4,9,9,5,2886511.12
700,10,2,8,4,1048416.16
700,8,5,10,1,720547.88
600,3,4,6,1,220497.87
600,10,6,9,1,735765.46
700,10,2,3,2,529268.62
500,5,7,3,5,618281.26
585,5,2,6,3,328600.84
700,10,2,3,2,530042.62
700,9,2,1,2,461231.14
700,10,10,8,5,3500932.9
585,8,4,9,3,794291.15
500,3,6,3,2,200330.99
700,3,6,7,3,708269.64
585,9,1,1,3,416967.73
700,6,1,7,4,598797.02
500,2,9,3,1,217376.54
700,3,8,7,5,1683091.1
500,5,9,5,3,752279.56
700,10,3,3,5,1199046.52
700,10,7,1,2,553874.45
600,2,2,1,5,187196.89
585,2,8,8,2,831624.55
600,10,6,4,5,1190096.92
585,2,6,10,3,1003377.5
600,8,10,7,4,1994731.59
600,10,1,3,3,498906.74
585,1,4,7,5,565467.9
700,3,2,7,4,420906.25
600,2,7,1,1,101249.49
700,2,1,1,5,233067.65
600,4,3,8,5,740623.18
500,1,10,10,4,2710629.32
700,4,7,3,4,597811.95
600,7,7,2,5,779820.85
600,4,8,7,3,992561.31
500,7,10,9,2,1505763.5
600,4,5,4,3,367253.77
500,5,3,3,2,176423.49
600,8,9,5,1,573829.61
585,8,6,8,5,1682708.13
700,6,3,5,1,303795.69
500,10,5,1,5,632984.95
585,5,4,1,5,437500.38
700,7,4,2,2,393597.18
500,4,1,4,2,128999.44
700,1,2,5,1,85158.11
585,3,3,1,4,206471.19
700,6,7,2,4,671664.65
700,4,8,8,1,739392.02
585,2,5,9,3,679621.42
500,10,4,6,5,944422.58
585,9,4,7,2,535495.92
700,4,8,10,3,1684975.79
585,5,8,3,1,282344.8
500,8,7,3,4,605723.58
700,8,5,8,5,1694840.37
600,5,1,4,4,352852.99
600,3,2,1,5,266701.46
585,5,6,4,3,456277.55
700,1,7,2,3,194536.48
500,7,9,6,3,999192.69
600,9,6,10,3,1341467.87
500,2,8,8,2,813046.53
500,7,2,7,2,277314.21
600,3,5,5,5,644594.65
585,1,1,10,3,176057.02
700,8,3,8,1,453624.29
700,1,8,2,5,378190.08
600,7,10,5,5,1742290.6
700,10,5,1,5,1167032.7
500,3,5,5,3,338926.41
700,2,9,5,4,932801.85
500,2,3,1,2,70026.36
500,9,10,2,1,312229.71
500,2,6,8,1,415171.96
600,4,9,6,3,957599.76
585,5,7,5,3,619254.07
600,9,5,6,3,740294.28
700,10,5,8,4,1472226.98
585,7,10,5,4,1319524.56
500,3,1,3,5,207736.5
600,8,4,8,2,568911.75
585,7,1,7,2,301396.54
700,7,5,3,1,341054.77
500,9,6,7,1,480547.61
700,5,1,3,4,450428.33
600,7,2,3,2,287947.64
600,9,6,4,2,506567.21
500,9,1,4,2,255263.95
700,7,4,1,2,374953.62
585,6,8,4,1,372682.13
500,6,9,7,4,1519088.62
585,2,9,9,5,2602369.46
500,6,2,1,5,360729.74
500,2,5,5,5,515437.62
700,10,7,9,3,1616870.69
700,10,2,10,1,519375.69
700,5,2,2,2,270379.88
600,10,5,9,4,1382266.48
600,3,6,10,2,813577.03
700,3,7,9,5,1967754.24
500,7,3,9,1,314994.09
600,8,5,8,4,1126113.18
700,6,4,6,4,802704.09
585,1,1,1,3,54907.2
700,10,8,1,3,737364.22
500,8,1,7,1,201007.68
700,1,3,4,3,155662.7
585,4,5,2,1,155411.53
500,3,10,1,3,228426.26
600,7,1,9,3,441485.88
600,10,1,1,4,628775.36
585,3,7,6,4,845413.62
600,8,3,7,1,344784.85
700,9,5,1,5,1058524.5
585,3,3,1,4,206481.19
600,2,3,4,5,313417.18
585,5,7,6,2,569724.83
700,6,10,9,5,3570199.23
500,2,9,7,1,613777.0
600,6,5,5,4,681460.49
700,6,10,7,2,1187915.83
585,7,3,1,5,574390.57
600,8,7,8,3,1183239.86
500,1,4,4,1,98053.77
585,10,5,7,4,1099736.0
700,3,1,2,2,162865.54
700,4,10,3,1,366247.69
585,10,4,9,3,883653.78
600,7,7,10,3,1488877.02
700,4,5,3,5,642612.0
585,6,8,8,5,2131939.19
600,8,1,8,3,470524.53
600,2,4,3,5,312123.18
600,4,7,6,3,705096.36
585,6,6,2,5,630350.28
500,4,1,9,5,407029.94
585,4,5,4,1,211515.31
600,4,5,1,5,396522.92
600,3,2,3,4,238457.2
700,2,2,7,2,199024.89
600,1,7,10,2,925164.38
500,10,2,7,4,597234.46
600,8,8,4,1,437772.58
585,2,7,4,3,380002.58
600,1,2,10,4,359798.66
585,10,8,2,3,611702.79
585,4,2,2,1,122928.71
585,6,7,6,4,1020170.81
500,10,3,7,2,408971.18
700,3,5,3,3,317053.71
585,9,10,10,1,1455403.92
500,7,8,5,2,552260.13
500,6,8,10,3,1624899.79
585,10,4,10,1,572580.07
600,3,8,4,3,499909.33
500,9,5,8,3,782808.68
700,5,3,4,5,699159.07
585,10,1,1,3,461933.55
585,7,8,10,1,1030898.88
585,7,3,6,2,366170.57
700,5,8,1,4,537289.36
600,2,5,4,4,351886.99
700,4,8,1,3,349381.54
600,7,5,1,1,225056.76
585,2,3,5,4,277000.96
585,10,2,1,1,277767.75
500,8,9,1,4,484219.73
585,8,10,6,1,754486.69
585,10,9,3,5,1270854.09
500,8,7,2,5,663877.55
600,6,5,9,5,1474159.67
700,5,9,6,2,840489.55
600,9,2,1,5,748128.83
700,4,4,8,1,365427.69
600,8,2,2,1,241472.42
600,2,2,2,2,94558.17
700,2,9,1,2,183397.01
700,9,3,6,5,1251807.71
585,1,1,2,2,46901.76
700,6,2,1,4,523692.99
500,1,1,5,2,60804.47
700,10,10,10,5,4560781.73
700,9,1,1,3,591171.91
500,1,4,6,4,341194.87
585,6,1,5,4,411224.19
500,8,5,4,2,338525.88
500,2,7,1,4,180678.35
585,1,9,6,1,481619.58
700,6,5,1,5,730967.89
585,4,1,2,3,197554.73
600,2,6,4,1,192815.22
500,6,1,5,4,316524.18
700,6,4,10,3,903027.48
500,8,1,10,4,510600.34
500,6,3,9,2,383770.72
600,4,9,6,4,1244811.09
585,4,9,10,2,1465692.03
700,9,10,9,2,1775895.38
700,7,5,2,4,690646.26
585,1,9,3,5,583128.37
700,7,3,3,3,515740.22
500,7,2,8,5,659755.67
600,5,1,10,2,282758.42
700,6,8,7,4,1546577.16
585,2,4,10,1,358091.07
600,5,2,6,4,441877.47
585,10,10,7,5,2714554.06
500,2,6,6,2,364319.05
500,2,4,5,4,314172.4
700,10,6,2,5,1266028.83
585,8,10,4,2,674968.87
700,9,4,8,1,555859.07
700,3,2,9,4,502434.06
600,2,2,8,4,331269.23
700,6,3,8,5,1074103.15
600,1,8,3,2,229104.03
600,1,8,9,3,1246263.72
500,2,1,3,4,117162.13
585,3,2,2,1,97200.09
500,1,3,5,2,121298.41
700,10,8,5,5,1913483.77
585,8,9,7,5,2250963.27
500,8,3,2,4,397001.61
600,3,5,8,3,628515.16
500,4,8,1,4,288185.28
500,10,10,5,2,793287.47
700,4,9,3,1,331615.23
600,5,8,1,3,328509.86
585,10,9,2,3,645243.22
700,7,9,5,5,1756508.72
585,3,7,8,1,555577.47
700,5,4,8,2,524205.59
600,9,1,5,5,796876.73
700,5,8,5,3,810646.89
500,6,1,8,2,223112.42
700,2,2,4,5,316561.48
700,3,7,5,1,349300.06
700,7,3,3,4,670226.39
600,6,7,6,4,1038776.58
700,6,5,6,3,700457.96
700,4,8,4,5,1041395.03
500,9,8,1,3,387376.6
700,5,2,8,1,285861.22
600,7,5,4,2,391501.88
585,1,4,5,1,131205.44
585,9,4,6,1,376946.55
600,6,1,6,1,204329.88
500,8,5,2,3,342350.15
500,9,8,3,1,324209.47
500,6,4,2,1,153673.84
585,2,10,3,4,581614.29
585,2,1,5,3,136336.19
600,3,9,2,3,335050.72
500,1,3,7,2,182106.65
585,8,3,6,4,677438.01
585,2,9,6,4,1114251.79
585,9,5,10,1,655372.88
700,3,5,10,3,894371.71
700,4,9,2,1,267818.3
700,9,5,10,3,1282049.39
700,1,8,3,1,186421.76
500,1,5,6,5,582763.9
500,6,9,9,4,2142150.29
585,2,2,3,4,171152.25
700,3,6,10,3,1106631.71
600,8,8,10,4,2346447.52
500,3,6,9,5,1463378.16
700,1,6,2,5,283326.0
600,9,1,7,3,501952.49
600,6,1,5,4,429848.95
500,8,5,7,2,506647.71
500,7,10,6,4,1487403.15
500,8,3,6,2,326707.51
600,2,7,8,2,692079.87
500,1,8,6,4,868533.64
585,1,7,2,3,175525.02
500,4,1,4,2,128601.44
585,8,10,3,3,718761.2
600,6,2,4,2,265256.85
600,3,8,5,5,1062133.43
585,2,9,4,2,403752.27
600,1,2,7,1,105540.11
585,5,2,3,4,347038.44
700,7,6,10,3,1366621.83
600,8,6,3,1,320558.04
585,3,9,1,4,318019.43
585,1,5,2,3,124580.13
585,9,10,8,1,1084162.13
700,6,4,1,2,325186.02
600,2,2,3,3,136202.19
585,6,6,2,4,484867.06
500,2,10,8,1,884559.13
585,1,7,8,4,1102386.44
500,6,7,6,1,422857.68
500,1,1,1,3,43470.74
585,3,3,5,3,257654.32
700,3,7,9,4,1514983.65
600,4,3,2,4,300233.55
500,3,2,6,3,202988.83
500,8,9,2,4,594205.15
585,1,3,7,1,147376.27
700,2,7,7,3,779177.95
500,8,8,10,4,2197167.15
600,7,8,10,1,1041503.06
500,8,7,8,1,631479.08
585,6,9,2,2,357274.96
585,6,2,1,2,220724.82
585,9,3,2,2,344716.73
585,3,2,2,3,161855.39
500,6,6,9,3,965162.33
700,1,10,8,3,1491106.95
600,4,10,2,5,708798.55
500,6,4,7,3,487846.08
600,6,2,6,4,503549.83
600,5,1,2,5,427528.58
600,1,8,7,4,1106049.73
500,8,9,6,2,793632.57
700,1,1,10,2,149902.29
585,9,9,1,3,516119.0
600,5,5,8,5,1222092.55
500,9,8,7,4,1429207.42
585,4,9,8,5,2329755.49
500,10,5,1,4,487973.42
700,1,5,6,1,223767.19
585,10,10,6,5,2305149.99
600,7,5,5,4,743692.85
500,5,5,1,3,210873.32
585,6,9,1,4,494412.62
700,8,1,2,4,691803.92
700,3,3,3,3,258144.1
500,2,1,9,1,105148.55
585,6,2,2,1,177997.96
500,7,6,10,2,881617.11
585,5,10,9,2,1501142.04
500,7,10,3,2,453553.11
585,3,6,6,2,417823.08
585,4,3,5,5,511861.5
500,7,2,7,3,361265.68
585,4,10,2,1,242684.42
600,2,6,8,5,1232016.62
600,9,6,6,4,1084375.97
500,9,3,9,1,355013.71
585,1,3,6,1,121550.46
700,7,10,4,5,1633919.1
600,5,4,6,2,360493.62
585,4,5,2,5,437143.84
700,10,3,8,4,1163919.2
500,3,7,4,3,390287.01
500,1,9,4,5,786140.33
585,10,5,8,3,936949.65
585,4,2,10,4,533087.55
500,4,3,9,2,333113.71
500,9,10,7,5,2452341.72
500,6,8,1,3,288659.54
585,2,7,5,1,287631.08
500,10,9,5,2,706771.56
500,3,4,4,3,228227.26
585,2,9,4,4,680148.13
700,5,3,4,5,699066.07
600,9,6,5,4,960479.26
600,8,3,5,3,503403.98
700,9,8,10,4,2609738.85
600,1,5,4,4,290706.64
700,1,10,4,1,344337.9
600,9,10,9,1,1273830.76
585,2,2,8,3,249833.26
500,10,6,8,5,1629599.78
500,2,6,8,1,415018.96
700,6,3,8,1,377446.14
600,5,3,8,1,289728.93
600,7,1,6,2,301696.99
500,10,6,1,2,299780.01
585,10,5,5,1,409003.03
600,5,8,1,1,195644.1
585,2,1,2,4,137803.33
500,9,4,7,4,762510.98
585,5,5,6,1,319293.24
600,9,2,2,4,590822.12
700,9,7,10,5,2935058.1
585,1,7,6,2,431094.78
585,4,10,10,5,3772565.01
700,6,8,8,2,1061343.13
700,5,8,6,2,738368.94
600,10,6,2,1,342605.36
600,4,1,8,2,217433.98
585,8,1,8,1,268584.84
500,6,6,5,5,861132.05
500,7,4,6,5,778012.1
600,8,2,9,2,441026.05
700,2,6,2,3,233212.32
500,3,1,6,2,121252.48
600,6,1,8,2,290167.27
600,1,3,7,3,250615.58
600,8,1,8,5,794282.55
700,2,2,2,1,92671.37
600,5,1,1,1,147561.72
600,8,4,10,3,895473.91
585,5,6,1,4,370040.13
700,2,6,7,3,644187.36
600,6,6,7,2,615160.64
500,1,10,7,5,2007082.09
585,7,1,1,3,326871.1
500,8,2,9,5,770756.3
700,10,2,8,2,619908.49
700,2,1,3,1,90876.12
600,8,10,1,4,662981.71
500,7,4,3,4,417389.96
700,2,6,2,1,138465.01
700,1,2,4,2,94880.57
500,7,5,4,3,407623.7
700,6,4,2,3,447460.55
585,1,4,8,1,239920.0
500,4,9,4,4,733470.24
585,5,1,2,5,406930.17
700,7,5,5,4,897998.61
585,9,10,1,4,697460.41
500,7,8,9,1,847666.86
600,5,10,9,2,1510102.7
700,2,2,10,4,465472.24
700,1,7,6,1,343110.9
600,10,7,1,2,421893.91
500,3,9,2,4,379401.35
500,6,2,5,4,359005.38
585,1,9,3,1,206317.55
500,10,7,4,1,367142.88
500,3,7,6,4,798086.12
700,9,2,1,1,354265.19
500,6,8,3,4,580814.92
600,6,10,4,4,1039674.58
500,5,3,7,2,282786.66
